"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","hard_hit_percent"
"Rojas, Miguel",500743,2022,507,111,84,19,2,6,".236",".323",".283","0.606","0.087",".260",".343",".268",".289",".306",".083",".276",".301",".269",".298","-0.024","-0.020","-0.021",27.1
"Bohm, Alec",664761,2022,631,164,124,24,3,13,".280",".398",".315","0.713","0.118",".290",".436",".310",".333",".327",".146",".353",".383",".337",".353","-0.010","-0.038","-0.023",43
"Machado, Manny",592518,2022,644,172,102,37,1,32,".298",".531",".366","0.897","0.233",".264",".447",".382",".338",".338",".183",".458",".396",".385",".343",".034",".084",".044",49
"Tellez, Rowdy",642133,2022,599,116,58,23,0,35,".219",".461",".306","0.767","0.242",".252",".479",".327",".349",".337",".226",".372",".404",".282",".328","-0.033","-0.018","-0.022",46
"Kwan, Steven",680757,2022,638,168,130,25,7,6,".298",".400",".373","0.773","0.102",".268",".341",".341",".312",".348",".073",".335",".298",".331",".300",".030",".059",".029",20.8
"Rodríguez, Julio",677594,2022,560,145,89,25,3,28,".284",".509",".345","0.854","0.225",".254",".460",".366",".337",".319",".206",".471",".428",".395",".356",".030",".049",".029",50.7
"Bichette, Bo",666182,2022,697,189,121,43,1,24,".290",".469",".333","0.802","0.179",".278",".444",".347",".334",".322",".166",".426",".408",".379",".364",".012",".025",".013",50.3
"Ramírez, José",608070,2022,685,168,90,44,5,29,".280",".514",".355","0.869","0.234",".255",".408",".363",".320",".337",".153",".385",".331",".318",".295",".025",".106",".043",36.9
"Giménez, Andrés",665926,2022,557,146,100,26,3,17,".297",".466",".371","0.837","0.169",".257",".400",".364",".326",".336",".143",".422",".368",".382",".332",".040",".066",".038",37.8
"Altuve, Jose",514888,2022,604,158,91,39,0,28,".300",".533",".387","0.920","0.233",".269",".440",".397",".354",".362",".171",".425",".367",".358",".323",".031",".093",".043",29.7
"Happ, Ian",664023,2022,641,155,94,42,2,17,".271",".440",".342","0.782","0.169",".239",".379",".339",".306",".315",".140",".408",".359",".362",".322",".032",".061",".033",40.4
"Merrifield, Whit",593160,2022,550,126,86,28,1,11,".250",".375",".298","0.673","0.125",".240",".356",".294",".288",".292",".116",".318",".310",".295",".288",".010",".019",".006",31.1
"Devers, Rafael",646240,2022,614,164,94,42,1,27,".295",".521",".358","0.879","0.226",".282",".497",".373",".361",".348",".215",".436",".420",".369",".355",".013",".024",".012",50.9
"Bregman, Alex",608324,2022,656,142,81,38,0,23,".259",".454",".366","0.820","0.195",".257",".416",".358",".350",".369",".159",".348",".337",".295",".299",".002",".038",".008",37.8
"Riley, Austin",663586,2022,693,168,89,39,2,38,".273",".528",".349","0.877","0.255",".271",".531",".377",".378",".349",".260",".465",".468",".373",".372",".002","-0.003","-0.001",50.8
"Mancini III, Trey",641820,2022,587,124,82,23,1,18,".239",".391",".319","0.710","0.152",".245",".410",".312",".327",".328",".165",".361",".383",".319",".332","-0.006","-0.019","-0.015",40.4
"Grichuk, Randal",545341,2022,538,131,88,21,3,19,".259",".425",".299","0.724","0.166",".229",".370",".315",".281",".271",".141",".390",".343",".344",".305",".030",".055",".034",43.6
"McCutchen, Andrew",457705,2022,580,122,80,25,0,17,".237",".384",".316","0.700","0.147",".252",".406",".309",".325",".329",".155",".348",".371",".309",".329","-0.015","-0.022","-0.016",40
"Alvarez, Yordan",670541,2022,561,144,76,29,2,37,".306",".613",".406","1.019","0.307",".326",".669",".427",".460",".427",".343",".495",".544",".388",".419","-0.020","-0.056","-0.033",59.8
"Hays, Austin",669720,2022,582,134,81,35,2,16,".250",".413",".306","0.719","0.163",".240",".372",".314",".298",".298",".132",".359",".337",".316",".306",".010",".041",".016",37.7
"Renfroe, Hunter",592669,2022,522,121,68,23,1,29,".255",".492",".315","0.807","0.237",".240",".438",".347",".323",".303",".199",".424",".390",".340",".321",".015",".054",".024",43.6
"Hayes, Ke'Bryan",663647,2022,560,123,89,24,3,7,".244",".345",".314","0.659","0.101",".246",".350",".294",".300",".318",".104",".333",".341",".319",".324","-0.002","-0.005","-0.006",46.8
"Soto, Juan",665742,2022,664,127,73,25,2,27,".242",".452",".401","0.853","0.210",".266",".501",".376",".401",".420",".235",".363",".402",".297",".326","-0.024","-0.049","-0.025",47.4
"Pham, Tommy",502054,2022,622,131,90,23,1,17,".236",".374",".312","0.686","0.138",".238",".383",".304",".311",".315",".145",".371",".383",".334",".340","-0.002","-0.009","-0.007",48.5
"Correa, Carlos",621043,2022,590,152,105,24,1,22,".291",".467",".366","0.833","0.176",".272",".480",".362",".360",".350",".208",".420",".418",".375",".352",".019","-0.013",".002",44.7
"Lindor, Francisco",596019,2022,706,170,114,25,5,26,".270",".449",".339","0.788","0.179",".254",".427",".342",".331",".326",".173",".385",".370",".337",".320",".016",".022",".011",41.3
"Marte, Ketel",606466,2022,558,118,62,42,2,12,".240",".407",".321","0.728","0.167",".251",".377",".317",".315",".333",".126",".343",".341",".298",".315","-0.011",".030",".002",41.9
"Reynolds, Bryan",668804,2022,614,142,92,19,4,27,".262",".461",".345","0.806","0.199",".249",".416",".349",".329",".334",".167",".416",".385",".352",".336",".013",".045",".020",42.9
"Judge, Aaron",592450,2022,696,177,87,28,0,62,".311",".686",".425","1.111","0.375",".305",".706",".458",".463",".422",".401",".602",".611",".443",".437",".006","-0.020","-0.005",61.8
"Drury, Brandon",592273,2022,568,136,75,31,2,28,".263",".492",".320","0.812","0.229",".242",".420",".350",".316",".303",".179",".421",".373",".343",".318",".021",".072",".034",42.2
"García, Adolis",666969,2022,657,151,85,34,5,27,".250",".456",".300","0.756","0.206",".244",".447",".324",".322",".296",".204",".425",".422",".353",".347",".006",".009",".002",47.4
"Castellanos, Nick",592206,2022,558,138,98,27,0,13,".263",".389",".305","0.694","0.126",".250",".395",".304",".302",".293",".145",".373",".370",".348",".332",".013","-0.006",".002",35.1
"Ohtani, Shohei",660271,2022,666,160,90,30,6,34,".273",".519",".356","0.875","0.246",".275",".549",".370",".383",".358",".274",".461",".481",".374",".377","-0.002","-0.030","-0.013",49.8
"Betts, Mookie",605141,2022,639,154,76,40,3,35,".269",".533",".340","0.873","0.264",".254",".465",".373",".344",".327",".211",".413",".373",".326",".309",".015",".068",".029",44.9
"Alonso, Pete",624413,2022,685,162,95,27,0,40,".271",".518",".352","0.870","0.247",".262",".486",".366",".353",".345",".225",".420",".403",".339",".330",".009",".032",".013",44.8
"Andrus, Elvis",462101,2022,577,133,84,32,0,17,".249",".404",".303","0.707","0.155",".245",".360",".310",".293",".300",".114",".338",".316",".300",".296",".004",".044",".017",34.8
"Cronenworth, Jake",630105,2022,684,140,89,30,4,17,".239",".390",".332","0.722","0.151",".221",".356",".318",".303",".319",".135",".341",".318",".302",".282",".018",".034",".015",34.1
"Farmer, Kyle",571657,2022,583,134,94,25,1,14,".255",".386",".315","0.701","0.131",".258",".380",".309",".311",".320",".122",".335",".339",".309",".317","-0.003",".006","-0.002",33.8
"Swanson, Dansby",621020,2022,696,177,119,32,1,25,".277",".447",".329","0.776","0.170",".257",".461",".337",".337",".314",".204",".431",".430",".383",".360",".020","-0.014",".000",46.3
"Escobar, Eduardo",500871,2022,542,119,69,26,4,20,".240",".430",".295","0.725","0.190",".243",".427",".311",".314",".300",".183",".381",".385",".320",".326","-0.003",".003","-0.003",37.6
"Marte, Starling",516782,2022,505,136,91,24,5,16,".292",".468",".347","0.815","0.176",".276",".428",".355",".336",".332",".153",".412",".386",".369",".348",".016",".040",".019",33.9
"Bogaerts, Xander",593428,2022,631,171,118,38,0,15,".307",".456",".377","0.833","0.149",".259",".383",".363",".323",".338",".124",".411",".354",".383",".328",".048",".073",".040",39.5
"Rodgers, Brendan",663898,2022,581,140,94,30,3,13,".266",".408",".325","0.733","0.142",".265",".404",".321",".326",".330",".139",".354",".361",".325",".331",".001",".004","-0.005",45.9
"McMahon, Ryan",641857,2022,597,130,84,23,3,20,".246",".414",".327","0.741","0.168",".247",".423",".326",".330",".329",".175",".400",".407",".348",".351","-0.001","-0.009","-0.004",46.5
"Vaughn, Andrew",683734,2022,555,138,92,28,1,17,".271",".429",".321","0.750","0.158",".255",".415",".327",".319",".311",".160",".366",".357",".329",".316",".016",".014",".008",48.6
"Frazier, Adam",624428,2022,602,129,100,22,4,3,".238",".311",".301","0.612","0.073",".262",".339",".274",".297",".324",".077",".272",".302",".272",".301","-0.024","-0.028","-0.023",24.5
"Hernández, Teoscar",606192,2022,535,133,72,35,1,25,".267",".491",".316","0.807","0.224",".265",".501",".348",".351",".314",".236",".465",".470",".383",".380",".002","-0.010","-0.003",53.3
"Arraez, Luis",650333,2022,603,173,133,31,1,8,".316",".420",".375","0.795","0.104",".288",".408",".350",".333",".350",".121",".345",".326",".341",".311",".028",".012",".017",30.2
"Báez, Javier",595879,2022,590,132,84,27,4,17,".238",".393",".278","0.671","0.155",".226",".374",".291",".281",".268",".148",".365",".351",".321",".307",".012",".019",".010",38
"Witt Jr., Bobby",677951,2022,632,150,93,31,6,20,".254",".428",".294","0.722","0.174",".252",".427",".311",".313",".294",".174",".374",".377",".325",".326",".002",".001","-0.002",38.6
"Wisdom, Patrick",621550,2022,534,97,44,28,0,25,".207",".426",".298","0.724","0.219",".188",".380",".316",".295",".284",".191",".438",".399",".337",".311",".019",".046",".021",46.3
"Acuña Jr., Ronald",660670,2022,533,124,85,24,0,15,".266",".413",".351","0.764","0.147",".272",".486",".335",".366",".358",".214",".397",".444",".360",".371","-0.006","-0.073","-0.031",49.7
"Mountcastle, Ryan",663624,2022,609,139,88,28,1,22,".250",".423",".305","0.728","0.173",".277",".509",".316",".362",".332",".232",".393",".463",".341",".381","-0.027","-0.086","-0.046",46.3
"Estrada, Thairo",642731,2022,541,127,89,22,2,14,".260",".400",".322","0.722","0.140",".246",".352",".317",".299",".312",".107",".343",".319",".314",".301",".014",".048",".018",31.1
"Rosario, Amed",642708,2022,670,180,134,26,9,11,".283",".403",".312","0.715","0.120",".276",".396",".311",".310",".308",".120",".356",".354",".340",".335",".007",".007",".001",38.3
"Ozuna, Marcell",542303,2022,507,106,64,19,0,23,".226",".413",".274","0.687","0.187",".253",".475",".298",".334",".300",".222",".364",".417",".301",".339","-0.027","-0.062","-0.036",43.8
